pair_id,SMILES_Solute,SMILES_Solvent,Solute_name,Solvent_name,Total_conformers,Filtered_conformers,Temperature_K,LogS,Compound_Name,Solvent
20.0,CC(=O)CCc1ccc(O)cc1,CCO,mol_20_solute_opt,mol_20_solvent_opt,50,38,283.15,0.3365552419252882,4-(4-hydroxyphenyl)-2-butanone (raspberry ketone),ethanol
21.0,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,CCO,mol_21_solute_opt,mol_21_solvent_opt,50,33,278.15,-2.4261578152609307,Cefmetazole acid,ethanol
22.0,CC(=O)c1cnccn1,CCO,mol_22_solute_opt,mol_22_solvent_opt,50,42,268.35,-0.8877777089158111,Acetylpyrazine,ethanol
23.0,Cc1cccc(C(=O)O)c1[N+](=O)[O-],CCO,mol_23_solute_opt,mol_23_solvent_opt,50,37,283.15,-0.7455699309038467,3-methyl-2-nitrobenzoic acid,ethanol
24.0,O=[N+]([O-])c1ccn([N+](=O)[O-])n1,CCO,mol_24_solute_opt,mol_24_solvent_opt,50,40,278.15,-0.5614911637577068,"1,3-dinitropyrazole",ethanol
25.0,CCCCCCCCCCCCCCCCCC,CCO,mol_25_solute_opt,mol_25_solvent_opt,50,21,283.05,-1.505159739662494,Octadecane,ethanol
26.0,CCCCCCCCCCCCCCCCCCC,CCO,mol_26_solute_opt,mol_26_solvent_opt,50,26,282.7,-1.7191776640107128,Nonadecane,ethanol
27.0,CC(=O)c1c(O)ccc2ccccc12,CCO,mol_27_solute_opt,mol_27_solvent_opt,50,32,285.7,0.0539646322762499,1-acetyl-2-naphthol,ethanol
28.0,CC(=O)c1ccc2ccccc2c1O,CCO,mol_28_solute_opt,mol_28_solvent_opt,50,32,289.15,-1.0717947285307703,2-acetyl-1-naphthol,ethanol
29.0,COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1O,CCO,mol_29_solute_opt,mol_29_solvent_opt,50,20,298.15,-4.358367060435575,Diosmin,ethanol
31.0,O=[N+]([O-])c1c[nH]cn1,CCO,mol_31_solute_opt,mol_31_solvent_opt,50,45,278.15,-1.266181554603963,4-nitroimidazole,ethanol
32.0,COc1cc(NS(=O)(=O)c2ccc(N)cc2)ncn1,CCO,mol_32_solute_opt,mol_32_solvent_opt,50,32,297.95,-2.0726587549917457,Sulfamonomethoxine,ethanol
33.0,O=C(OCCO)c1ccc(C(=O)OCCO)cc1,CCO,mol_33_solute_opt,mol_33_solvent_opt,50,28,283.15,-2.000197166613345,bis-2-hydroxyethyl terephthalate (BHET),ethanol
34.0,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(Cl)c1Cl,CCO,mol_34_solute_opt,mol_34_solvent_opt,50,40,278.15,-1.3866167948870585,"2,3,4-trichloro-1,5-dinitrobenzene",ethanol
35.0,O=C1c2ccccc2-c2ccccc21,CCO,mol_35_solute_opt,mol_35_solvent_opt,50,34,278.15,-0.6495370684979412,9-fluorenone,ethanol
36.0,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,CCO,mol_36_solute_opt,mol_36_solvent_opt,50,21,279.1,-0.6683715918440506,Simvastatin,ethanol
37.0,CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,CCO,mol_37_solute_opt,mol_37_solvent_opt,50,27,293.15,-1.5428473677170902,Deflazacort,ethanol
38.0,C=C(CC(=O)O)C(=O)O,CCO,mol_38_solute_opt,mol_38_solvent_opt,50,33,283.15,0.1096260798344955,Itaconic acid,ethanol
39.0,O=C(O)CC(=O)O,CCO,mol_39_solute_opt,mol_39_solvent_opt,50,38,303.2,0.2984659283337929,Malonic acid,ethanol
40.0,O=C(O)CC(O)(CC(=O)O)C(=O)O,CCO,mol_40_solute_opt,mol_40_solvent_opt,50,34,303.2,-0.0405963717495894,Citric acid,ethanol
41.0,O=C(O)CC(O)C(=O)O,CCO,mol_41_solute_opt,mol_41_solvent_opt,50,39,303.2,0.1800708357622411,Malic acid,ethanol
42.0,Nc1cccnc1,CCO,mol_42_solute_opt,mol_42_solvent_opt,50,38,283.15,1.1301141549274687,3-aminopyridine,ethanol
43.0,c1cc2ccc3cccc4ccc(c1)c2c34,CCO,mol_43_solute_opt,mol_43_solvent_opt,50,31,295.55,-1.2975716319710129,Pyrene,ethanol
44.0,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,CCO,mol_44_solute_opt,mol_44_solvent_opt,50,21,288.15,-2.007848856919856,Levofloxacin,ethanol
45.0,CC1(C)COP(=O)(O)OC1c1ccccc1Cl,CCO,mol_45_solute_opt,mol_45_solvent_opt,50,30,278.15,-1.1276280069154945,Chlocyphos,ethanol
46.0,O=C(O)CCCCCCC(=O)O,CCO,mol_46_solute_opt,mol_46_solvent_opt,50,33,283.25,-0.5562949481687165,Suberic acid,ethanol
47.0,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,CCO,mol_47_solute_opt,mol_47_solvent_opt,50,15,303.15,-1.6121271687030234,Candesartan cilexetil,ethanol
48.0,O=C(O)CC(S)C(=O)O,CCO,mol_48_solute_opt,mol_48_solvent_opt,50,38,278.15,0.4469387473909517,Thiomalic acid,ethanol
49.0,COC(=O)C1CC(=O)C(C(=O)OC)CC1=O,CCO,mol_49_solute_opt,mol_49_solvent_opt,50,35,278.15,-2.644891838180272,Dimethyl succinylsuccinate,ethanol
50.0,C/C=C/C(=O)O,CCO,mol_50_solute_opt,mol_50_solvent_opt,50,38,278.15,0.6987415070802048,Crotonic acid,ethanol
51.0,Nc1ccc(Oc2ccc(N)cc2)cc1,CCO,mol_51_solute_opt,mol_51_solvent_opt,50,34,283.15,-2.1239453857770894,"4,4′-oxydianiline",ethanol
52.0,NCC(=O)O,CCO,mol_52_solute_opt,mol_52_solvent_opt,50,37,278.15,-2.281640089828468,Glycine,ethanol
53.0,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,CCO,mol_53_solute_opt,mol_53_solvent_opt,50,29,293.15,-2.892676102612431,Sulfamethazine,ethanol
54.0,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,CCO,mol_54_solute_opt,mol_54_solvent_opt,50,36,293.15,-3.3282666847851687,Sulfamerazine,ethanol
55.0,CC1(C)CO[P+]([O-])(Oc2c(Br)cc(Br)cc2Br)OC1,CCO,mol_55_solute_opt,mol_55_solvent_opt,50,30,293.15,-1.3670020431241374,"1,3,2-dioxaphosphorinane-5,5-dimethyl-2-(2,4,6-tribromophenoxy)-2-oxide",ethanol
56.0,O=C(O)C[C@H](O)C(=O)O,CCO,mol_56_solute_opt,mol_56_solvent_opt,50,37,278.15,0.3348826467153357,L-malic acid,ethanol
57.0,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,CCO,mol_57_solute_opt,mol_57_solvent_opt,50,28,278.15,-3.537470183534201,Cefoperazone,ethanol
58.0,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,CCO,mol_58_solute_opt,mol_58_solvent_opt,50,28,278.15,-1.7762032964465984,Risperidone,ethanol
59.0,CCn1c2ccccc2c2ccccc21,CCO,mol_59_solute_opt,mol_59_solvent_opt,50,33,279.15,-0.9175086225841392,N-ethylcarbazole,ethanol
60.0,O=C(O)CN(CC(=O)O)CP(=O)(O)O,CCO,mol_60_solute_opt,mol_60_solvent_opt,50,31,298.15,-3.2631374239394324,N-(phosphonomethyl)iminodiacetic acid,ethanol
61.0,Clc1ccc(-c2c3nc(c(-c4ccc(Cl)cc4)c4ccc([nH]4)c(-c4ccc(Cl)cc4)c4nc(c(-c5ccc(Cl)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1,CCO,mol_61_solute_opt,mol_61_solvent_opt,50,17,293.2,-4.660964759719172,"5,10,15,20-tetra(p-chlorophenyl)porphyrin (p-ClTPP)",ethanol
62.0,CP(=O)(O)O,CCO,mol_62_solute_opt,mol_62_solvent_opt,50,36,288.38,1.0830187148900503,Methylphosphonic acid,ethanol
63.0,O=c1ccc2ccccc2o1,CCO,mol_63_solute_opt,mol_63_solvent_opt,50,39,278.15,-0.9044156203690064,Coumarin,ethanol
64.0,CC(=O)Oc1ccccc1C(=O)O,CCO,mol_64_solute_opt,mol_64_solvent_opt,50,34,274.95,-0.3556288975426973,Aspirin,ethanol
65.0,CN=C(NC#N)NCCSCc1nc[nH]c1C,CCO,mol_65_solute_opt,mol_65_solvent_opt,50,34,297.26,-1.0668756648711142,Cimetidine,ethanol
66.0,CCOc1ccccc1C(N)=O,CCO,mol_66_solute_opt,mol_66_solvent_opt,50,31,288.15,-0.7185740649164034,Ethenzamide,ethanol
67.0,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,CCO,mol_67_solute_opt,mol_67_solvent_opt,50,25,283.15,-1.8823711510053864,Linezolid,ethanol
68.0,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,CCO,mol_68_solute_opt,mol_68_solvent_opt,50,27,293.15,-2.318749496612715,Cytarabine,ethanol
69.0,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,CCO,mol_69_solute_opt,mol_69_solvent_opt,50,24,278.25,-0.7589828030700312,Capecitabine,ethanol
70.0,Cc1cc(C)c(C(=O)P(=O)(c2ccccc2)c2ccccc2)c(C)c1,CCO,mol_70_solute_opt,mol_70_solvent_opt,50,23,273.15,0.1589785950551898,"(2,4,6-trimethylbenzoyl) diphenylphosphine oxide",ethanol
71.0,CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O,CCO,mol_71_solute_opt,mol_71_solvent_opt,50,31,298.15,-1.0680281997741872,β-lapachone,ethanol
72.0,Cn1cc([N+](=O)[O-])cn1,CCO,mol_72_solute_opt,mol_72_solvent_opt,50,37,283.15,-1.0752125237981325,1-methyl-4-nitropyrazole,ethanol
73.0,Nc1nc(N)nc(NC2CC2)n1,CCO,mol_73_solute_opt,mol_73_solvent_opt,50,29,283.15,-1.7991878269792816,Cyromazine,ethanol
74.0,O=C1NC(=O)C2C3C=CC(C3)C12,CCO,mol_74_solute_opt,mol_74_solvent_opt,50,30,278.15,-1.1128304363590051,"5-norbornene-2,3-dicarboximide",ethanol
75.0,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,CCO,mol_75_solute_opt,mol_75_solvent_opt,50,35,278.2,-0.6856182277731317,Trans-resveratrol,ethanol
76.0,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc(O)c4c(=O)cc(-c5ccccc5O)oc4c3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,CCO,mol_76_solute_opt,mol_76_solvent_opt,50,17,288.2,-2.958141084786738,Apigenin 7-O-rhamnosylglucoside,ethanol
77.0,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,CCO,mol_77_solute_opt,mol_77_solvent_opt,50,34,288.2,-2.376173888126732,Apigenin,ethanol
78.0,C[C@@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,CCO,mol_78_solute_opt,mol_78_solvent_opt,50,20,299.15,-1.6445719307287323,Diosgenin,ethanol
79.0,O=C(O)c1cccnc1,CCO,mol_79_solute_opt,mol_79_solvent_opt,50,38,283.38,-1.4111223135297493,Nicotinic acid,ethanol
80.0,Brc1sc(Br)c(Br)c1Br,CCO,mol_80_solute_opt,mol_80_solvent_opt,50,39,281.25,-1.5862342181332447,"2,3,4,5-tetrabromothiophene",ethanol
81.0,O=C(O)c1ccccc1O,CCO,mol_81_solute_opt,mol_81_solvent_opt,50,35,278.15,0.3259675699543059,Salicylic acid,ethanol
82.0,CN1c2ccccc2C(=O)N2CCc3c([nH]c4ccccc34)[C@H]21,CCO,mol_82_solute_opt,mol_82_solvent_opt,50,29,283.2,-2.9745079869039985,Evodiamine,ethanol
83.0,CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(=O)O)[C@H]2CC1,CCO,mol_83_solute_opt,mol_83_solvent_opt,50,23,285.07,-0.5361302506308564,Abietic acid,ethanol
84.0,O=C(O)CCCCCCCCCCC(=O)O,CCO,mol_84_solute_opt,mol_84_solvent_opt,50,22,288.15,-0.8412735518823278,Dodecanedioic acid,ethanol
85.0,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,CCO,mol_85_solute_opt,mol_85_solvent_opt,50,29,278.15,0.1810002447864914,Climbazole,ethanol
86.0,Cn1c(=O)c2[nH]cnc2n(C)c1=O,CCO,mol_86_solute_opt,mol_86_solvent_opt,50,35,309.4,-1.870486961423522,Theophylline,ethanol
87.0,Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,CCO,mol_87_solute_opt,mol_87_solvent_opt,50,33,313.9,-1.7756982508054209,7-(β-hydroxyethyl) theophylline,ethanol
88.0,Cn1cnc2c1c(=O)[nH]c(=O)n2C,CCO,mol_88_solute_opt,mol_88_solvent_opt,50,38,293.15,-3.5814730235317915,Theobromine,ethanol
89.0,O=C(O)C(=O)O,CCO,mol_89_solute_opt,mol_89_solvent_opt,50,39,288.15,-0.0382655033066484,Oxalic acid,ethanol
90.0,O=C(O)CCCC(=O)O,CCO,mol_90_solute_opt,mol_90_solvent_opt,50,31,288.15,0.4341616052119375,Glutaric acid,ethanol
91.0,O=C(O)CCCCC(=O)O,CCO,mol_91_solute_opt,mol_91_solvent_opt,50,35,288.15,-0.2989281228025413,Adipic acid,ethanol
92.0,O=C(O)CCCCCC(=O)O,CCO,mol_92_solute_opt,mol_92_solvent_opt,50,31,288.15,0.0971304568891531,Pimelic acid,ethanol
93.0,O=C(O)CCCCCCCC(=O)O,CCO,mol_93_solute_opt,mol_93_solvent_opt,50,29,288.15,-0.0125965741284103,Azelaic acid,ethanol
94.0,O=C(O)CCCCCCCCC(=O)O,CCO,mol_94_solute_opt,mol_94_solvent_opt,50,25,288.15,-0.6104635193776349,Sebacic acid,ethanol
95.0,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,CCO,mol_95_solute_opt,mol_95_solvent_opt,50,27,278.75,-1.5282435652684907,Spironolactone,ethanol
96.0,COc1cc(Cl)c(OC)cc1N,CCO,mol_96_solute_opt,mol_96_solvent_opt,50,33,279.35,-1.321153457879756,"4-chloro-2,5-dimethoxyaniline",ethanol
97.0,COc1cc([N+](=O)[O-])c(OC)cc1Cl,CCO,mol_97_solute_opt,mol_97_solvent_opt,50,39,276.95,-2.1352033561777213,"4-chloro-2,5-dimethoxynitrobenzene",ethanol
98.0,C/C=C/C=C/C(=O)O,CCO,mol_98_solute_opt,mol_98_solvent_opt,50,39,285.15,-0.0974673366526018,Sorbic acid,ethanol
99.0,O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1,CCO,mol_99_solute_opt,mol_99_solvent_opt,50,38,297.45,-1.1168381986066809,(-)-shikimic acid,ethanol
100.0,O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc12,CCO,mol_100_solute_opt,mol_100_solvent_opt,50,29,283.2,-2.296968133073962,Daidzin,ethanol
101.0,COc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc(OC)c1O,CCO,mol_101_solute_opt,mol_101_solvent_opt,50,31,288.15,-3.990182306326914,Tricin,ethanol
102.0,O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,CCO,mol_102_solute_opt,mol_102_solvent_opt,50,28,283.2,-3.341318818100364,Genistin,ethanol
103.0,O=C(O)CCCCCCCCCCCC(=O)O,CCO,mol_103_solute_opt,mol_103_solvent_opt,50,25,283.15,-1.317939205995956,Tridecanedioic acid,ethanol
104.0,O=[N+]([O-])c1nonc1-c1no[n+]([O-])c1-c1nonc1[N+](=O)[O-],CCO,mol_104_solute_opt,mol_104_solvent_opt,50,29,298.15,-0.8562841712881902,"3,4-bis(3-nitrofurazan-4-yl)furoxan",ethanol
105.0,O=[N+]([O-])c1cccc2cccc([N+](=O)[O-])c12,CCO,mol_105_solute_opt,mol_105_solvent_opt,50,39,273.15,-2.373332088483335,"1,8-dinitronaphthalene",ethanol
106.0,CC1=C(O)C(=O)C(C)O1,CCO,mol_106_solute_opt,mol_106_solvent_opt,50,35,283.15,0.3734860496951216,"4-hydroxy-2,5-dimethyl-3(2H)-furanone (DMHF)",ethanol
107.0,Cc1ccc(C(C)C)c(O)c1,CCO,mol_107_solute_opt,mol_107_solvent_opt,50,33,279.15,1.125131763813929,Thymol,ethanol
108.0,O=C1NC(=O)c2ccccc21,CCO,mol_108_solute_opt,mol_108_solvent_opt,50,34,283.15,-1.695538546862122,Phthalimide,ethanol
109.0,NC(N)=S,CCO,mol_109_solute_opt,mol_109_solvent_opt,50,42,283.15,-0.4861031003644623,Thiourea,ethanol
111.0,CCOC(=O)Cc1c(C(=O)OCC)sc(N)c1C#N,CCO,mol_111_solute_opt,mol_111_solvent_opt,50,33,273.15,-1.264527077517986,Ethyl 5-amino-4-cyano-3-(2-ethoxy-2-oxoethyl)-2-thiophenecarboxylate,ethanol
112.0,Nc1ccc(N2CCOCC2=O)cc1,CCO,mol_112_solute_opt,mol_112_solvent_opt,50,33,278.15,-1.6555644375690546,4-(4-aminophenyl)-3-morpholinone,ethanol
113.0,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]32)C1,CCO,mol_113_solute_opt,mol_113_solvent_opt,50,28,273.15,-1.4878530431413748,Dehydroepiandrosterone acetate,ethanol
114.0,O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,CCO,mol_114_solute_opt,mol_114_solvent_opt,50,34,278.15,-3.522598892033445,Aloe-emodin,ethanol
115.0,N=C(Nc1ccccc1)Nc1ccccc1,CCO,mol_115_solute_opt,mol_115_solvent_opt,50,28,273.15,-0.5918721593814056,"1,3-diphenylguanidine",ethanol
116.0,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,CCO,mol_116_solute_opt,mol_116_solvent_opt,50,29,278.15,-0.904538814416453,Pronamide,ethanol
117.0,O=[N+]([O-])c1ccc(O)c2ncccc12,CCO,mol_117_solute_opt,mol_117_solvent_opt,50,41,278.15,-1.9992007945205144,5-nitro-8-hydroxyquinoline,ethanol
118.0,COc1c(O)cc2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O,CCO,mol_118_solute_opt,mol_118_solvent_opt,50,34,298.15,-1.0950868246905707,Bergenin,ethanol
119.0,COC(=O)N(OC)c1ccccc1COc1ccn(-c2ccc(Cl)cc2)n1,CCO,mol_119_solute_opt,mol_119_solvent_opt,50,27,283.15,-1.0986692742882798,Pyraclostrobin,ethanol
120.0,Cc1cccc([N+](=O)[O-])c1N,CCO,mol_120_solute_opt,mol_120_solvent_opt,50,39,278.15,-0.745838930153082,2-methyl-6-nitroaniline,ethanol
121.0,O=S(=O)(c1ccc(O)cc1)c1ccccc1O,CCO,mol_121_solute_opt,mol_121_solvent_opt,50,26,278.15,0.0864864538311847,"2,4′-dihydroxydiphenyl sulfone",ethanol
122.0,Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],CCO,mol_122_solute_opt,mol_122_solvent_opt,50,39,278.15,-1.6569394412754064,"2,4-dinitroaniline",ethanol
123.0,O=Cc1ccc(C=O)cc1,CCO,mol_123_solute_opt,mol_123_solvent_opt,50,43,273.15,-0.9141078100378746,Terephthaldialdehyde,ethanol
124.0,Cc1cc(C(=O)O)ccc1[N+](=O)[O-],CCO,mol_124_solute_opt,mol_124_solvent_opt,50,42,283.15,-0.8825350780737555,3-methyl-4-nitrobenzoic acid,ethanol
125.0,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,CCO,mol_125_solute_opt,mol_125_solvent_opt,50,23,278.15,-2.1529805288229005,Cefoxitin acid,ethanol
126.0,CC1=NN(c2ccc(C)cc2)C(=O)C1,CCO,mol_126_solute_opt,mol_126_solvent_opt,50,34,278.15,-0.5866445486731734,"2,4-dihydro-5-methyl-2-(4-methylphenyl)-3H-pyrazol-3-one",ethanol
127.0,O=C(O)c1ccccc1Nc1ccccc1,CCO,mol_127_solute_opt,mol_127_solvent_opt,50,28,283.15,-0.9114800308205668,N-phenylanthranilic acid,ethanol
128.0,Cc1ccc(S(C)(=O)=O)cc1,CCO,mol_128_solute_opt,mol_128_solvent_opt,50,31,278.15,-0.8976924535194952,1-methyl-4-(methylsulfonyl)benzene,ethanol
129.0,O=[N+]([O-])c1cn[nH]c1,CCO,mol_129_solute_opt,mol_129_solvent_opt,50,42,278.15,-0.1746820182036678,4-nitropyrazole,ethanol
130.0,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,CCO,mol_130_solute_opt,mol_130_solvent_opt,50,34,288.15,-2.327690105403964,Oxcarbazepine,ethanol
131.0,O=Cc1ccc([N+](=O)[O-])cc1,CCO,mol_131_solute_opt,mol_131_solvent_opt,50,35,273.15,-0.570949146812138,4-nitrobenzaldehyde,ethanol
132.0,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(OCCO)c(OCCO)c4)oc4cc(OCCO)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,CCO,mol_132_solute_opt,mol_132_solvent_opt,50,13,288.15,-2.4059374535927653,Troxerutin,ethanol
133.0,Nc1nnc[nH]1,CCO,mol_133_solute_opt,mol_133_solvent_opt,50,37,283.15,-0.7055576140659214,"3-amino-1,2,4-triazole",ethanol
134.0,CC(C)(C)[C@H](O)[C@H](Cc1ccc(Cl)cc1)n1cncn1,CCO,mol_134_solute_opt,mol_134_solvent_opt,50,23,278.15,-0.8808527185667264,Paclobutrazol,ethanol
135.0,Cn1cnc([N+](=O)[O-])c1Cl,CCO,mol_135_solute_opt,mol_135_solvent_opt,50,45,283.15,-1.4214214695547809,5-chloro-1-methyl-4-nitroimidazole,ethanol
136.0,CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,CCO,mol_136_solute_opt,mol_136_solvent_opt,50,18,278.15,-1.3942752917876038,Ciclesonide,ethanol
137.0,Nc1ccccc1N,CCO,mol_137_solute_opt,mol_137_solvent_opt,50,36,283.15,-0.6125297985547615,O-phenylenediamine,ethanol
