pair_id,SMILES_Solute,SMILES_Solvent,Solute_name,Solvent_name,Total_conformers,Filtered_conformers
21.0,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,CCO,mol_21_solute_opt,mol_21_solvent_opt,50,33
22.0,CC(=O)c1cnccn1,CCO,mol_22_solute_opt,mol_22_solvent_opt,50,42
23.0,Cc1cccc(C(=O)O)c1[N+](=O)[O-],CCO,mol_23_solute_opt,mol_23_solvent_opt,50,37
24.0,O=[N+]([O-])c1ccn([N+](=O)[O-])n1,CCO,mol_24_solute_opt,mol_24_solvent_opt,50,40
25.0,CCCCCCCCCCCCCCCCCC,CCO,mol_25_solute_opt,mol_25_solvent_opt,50,21
26.0,CCCCCCCCCCCCCCCCCCC,CCO,mol_26_solute_opt,mol_26_solvent_opt,50,26
27.0,CC(=O)c1c(O)ccc2ccccc12,CCO,mol_27_solute_opt,mol_27_solvent_opt,50,32
28.0,CC(=O)c1ccc2ccccc2c1O,CCO,mol_28_solute_opt,mol_28_solvent_opt,50,32
29.0,COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1O,CCO,mol_29_solute_opt,mol_29_solvent_opt,50,20
31.0,O=[N+]([O-])c1c[nH]cn1,CCO,mol_31_solute_opt,mol_31_solvent_opt,50,45
32.0,COc1cc(NS(=O)(=O)c2ccc(N)cc2)ncn1,CCO,mol_32_solute_opt,mol_32_solvent_opt,50,32
33.0,O=C(OCCO)c1ccc(C(=O)OCCO)cc1,CCO,mol_33_solute_opt,mol_33_solvent_opt,50,28
34.0,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(Cl)c1Cl,CCO,mol_34_solute_opt,mol_34_solvent_opt,50,40
35.0,O=C1c2ccccc2-c2ccccc21,CCO,mol_35_solute_opt,mol_35_solvent_opt,50,34
36.0,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,CCO,mol_36_solute_opt,mol_36_solvent_opt,50,21
37.0,CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,CCO,mol_37_solute_opt,mol_37_solvent_opt,50,27
38.0,C=C(CC(=O)O)C(=O)O,CCO,mol_38_solute_opt,mol_38_solvent_opt,50,33
39.0,O=C(O)CC(=O)O,CCO,mol_39_solute_opt,mol_39_solvent_opt,50,38
40.0,O=C(O)CC(O)(CC(=O)O)C(=O)O,CCO,mol_40_solute_opt,mol_40_solvent_opt,50,34
41.0,O=C(O)CC(O)C(=O)O,CCO,mol_41_solute_opt,mol_41_solvent_opt,50,39
42.0,Nc1cccnc1,CCO,mol_42_solute_opt,mol_42_solvent_opt,50,38
43.0,c1cc2ccc3cccc4ccc(c1)c2c34,CCO,mol_43_solute_opt,mol_43_solvent_opt,50,31
44.0,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,CCO,mol_44_solute_opt,mol_44_solvent_opt,50,21
45.0,CC1(C)COP(=O)(O)OC1c1ccccc1Cl,CCO,mol_45_solute_opt,mol_45_solvent_opt,50,30
46.0,O=C(O)CCCCCCC(=O)O,CCO,mol_46_solute_opt,mol_46_solvent_opt,50,33
47.0,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,CCO,mol_47_solute_opt,mol_47_solvent_opt,50,15
48.0,O=C(O)CC(S)C(=O)O,CCO,mol_48_solute_opt,mol_48_solvent_opt,50,38
49.0,COC(=O)C1CC(=O)C(C(=O)OC)CC1=O,CCO,mol_49_solute_opt,mol_49_solvent_opt,50,35
50.0,C/C=C/C(=O)O,CCO,mol_50_solute_opt,mol_50_solvent_opt,50,38
51.0,Nc1ccc(Oc2ccc(N)cc2)cc1,CCO,mol_51_solute_opt,mol_51_solvent_opt,50,34
52.0,NCC(=O)O,CCO,mol_52_solute_opt,mol_52_solvent_opt,50,37
53.0,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,CCO,mol_53_solute_opt,mol_53_solvent_opt,50,29
54.0,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,CCO,mol_54_solute_opt,mol_54_solvent_opt,50,36
55.0,CC1(C)CO[P+]([O-])(Oc2c(Br)cc(Br)cc2Br)OC1,CCO,mol_55_solute_opt,mol_55_solvent_opt,50,30
56.0,O=C(O)C[C@H](O)C(=O)O,CCO,mol_56_solute_opt,mol_56_solvent_opt,50,37
57.0,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,CCO,mol_57_solute_opt,mol_57_solvent_opt,50,28
58.0,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,CCO,mol_58_solute_opt,mol_58_solvent_opt,50,28
59.0,CCn1c2ccccc2c2ccccc21,CCO,mol_59_solute_opt,mol_59_solvent_opt,50,33
60.0,O=C(O)CN(CC(=O)O)CP(=O)(O)O,CCO,mol_60_solute_opt,mol_60_solvent_opt,50,31
61.0,Clc1ccc(-c2c3nc(c(-c4ccc(Cl)cc4)c4ccc([nH]4)c(-c4ccc(Cl)cc4)c4nc(c(-c5ccc(Cl)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1,CCO,mol_61_solute_opt,mol_61_solvent_opt,50,17
62.0,CP(=O)(O)O,CCO,mol_62_solute_opt,mol_62_solvent_opt,50,36
63.0,O=c1ccc2ccccc2o1,CCO,mol_63_solute_opt,mol_63_solvent_opt,50,39
64.0,CC(=O)Oc1ccccc1C(=O)O,CCO,mol_64_solute_opt,mol_64_solvent_opt,50,34
65.0,CN=C(NC#N)NCCSCc1nc[nH]c1C,CCO,mol_65_solute_opt,mol_65_solvent_opt,50,34
66.0,CCOc1ccccc1C(N)=O,CCO,mol_66_solute_opt,mol_66_solvent_opt,50,31
67.0,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,CCO,mol_67_solute_opt,mol_67_solvent_opt,50,25
68.0,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,CCO,mol_68_solute_opt,mol_68_solvent_opt,50,27
69.0,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,CCO,mol_69_solute_opt,mol_69_solvent_opt,50,24
70.0,Cc1cc(C)c(C(=O)P(=O)(c2ccccc2)c2ccccc2)c(C)c1,CCO,mol_70_solute_opt,mol_70_solvent_opt,50,23
71.0,CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O,CCO,mol_71_solute_opt,mol_71_solvent_opt,50,31
72.0,Cn1cc([N+](=O)[O-])cn1,CCO,mol_72_solute_opt,mol_72_solvent_opt,50,37
73.0,Nc1nc(N)nc(NC2CC2)n1,CCO,mol_73_solute_opt,mol_73_solvent_opt,50,29
74.0,O=C1NC(=O)C2C3C=CC(C3)C12,CCO,mol_74_solute_opt,mol_74_solvent_opt,50,30
75.0,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,CCO,mol_75_solute_opt,mol_75_solvent_opt,50,35
76.0,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc(O)c4c(=O)cc(-c5ccccc5O)oc4c3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,CCO,mol_76_solute_opt,mol_76_solvent_opt,50,17
77.0,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,CCO,mol_77_solute_opt,mol_77_solvent_opt,50,34
78.0,C[C@@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,CCO,mol_78_solute_opt,mol_78_solvent_opt,50,20
79.0,O=C(O)c1cccnc1,CCO,mol_79_solute_opt,mol_79_solvent_opt,50,38
80.0,Brc1sc(Br)c(Br)c1Br,CCO,mol_80_solute_opt,mol_80_solvent_opt,50,39
81.0,O=C(O)c1ccccc1O,CCO,mol_81_solute_opt,mol_81_solvent_opt,50,35
82.0,CN1c2ccccc2C(=O)N2CCc3c([nH]c4ccccc34)[C@H]21,CCO,mol_82_solute_opt,mol_82_solvent_opt,50,29
83.0,CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(=O)O)[C@H]2CC1,CCO,mol_83_solute_opt,mol_83_solvent_opt,50,23
84.0,O=C(O)CCCCCCCCCCC(=O)O,CCO,mol_84_solute_opt,mol_84_solvent_opt,50,22
85.0,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,CCO,mol_85_solute_opt,mol_85_solvent_opt,50,29
86.0,Cn1c(=O)c2[nH]cnc2n(C)c1=O,CCO,mol_86_solute_opt,mol_86_solvent_opt,50,35
87.0,Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,CCO,mol_87_solute_opt,mol_87_solvent_opt,50,33
88.0,Cn1cnc2c1c(=O)[nH]c(=O)n2C,CCO,mol_88_solute_opt,mol_88_solvent_opt,50,38
89.0,O=C(O)C(=O)O,CCO,mol_89_solute_opt,mol_89_solvent_opt,50,39
90.0,O=C(O)CCCC(=O)O,CCO,mol_90_solute_opt,mol_90_solvent_opt,50,31
91.0,O=C(O)CCCCC(=O)O,CCO,mol_91_solute_opt,mol_91_solvent_opt,50,35
92.0,O=C(O)CCCCCC(=O)O,CCO,mol_92_solute_opt,mol_92_solvent_opt,50,31
93.0,O=C(O)CCCCCCCC(=O)O,CCO,mol_93_solute_opt,mol_93_solvent_opt,50,29
94.0,O=C(O)CCCCCCCCC(=O)O,CCO,mol_94_solute_opt,mol_94_solvent_opt,50,25
95.0,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,CCO,mol_95_solute_opt,mol_95_solvent_opt,50,27
96.0,COc1cc(Cl)c(OC)cc1N,CCO,mol_96_solute_opt,mol_96_solvent_opt,50,33
97.0,COc1cc([N+](=O)[O-])c(OC)cc1Cl,CCO,mol_97_solute_opt,mol_97_solvent_opt,50,39
98.0,C/C=C/C=C/C(=O)O,CCO,mol_98_solute_opt,mol_98_solvent_opt,50,39
99.0,O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1,CCO,mol_99_solute_opt,mol_99_solvent_opt,50,38
100.0,O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc12,CCO,mol_100_solute_opt,mol_100_solvent_opt,50,29
101.0,COc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc(OC)c1O,CCO,mol_101_solute_opt,mol_101_solvent_opt,50,31
102.0,O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,CCO,mol_102_solute_opt,mol_102_solvent_opt,50,28
103.0,O=C(O)CCCCCCCCCCCC(=O)O,CCO,mol_103_solute_opt,mol_103_solvent_opt,50,25
104.0,O=[N+]([O-])c1nonc1-c1no[n+]([O-])c1-c1nonc1[N+](=O)[O-],CCO,mol_104_solute_opt,mol_104_solvent_opt,50,29
105.0,O=[N+]([O-])c1cccc2cccc([N+](=O)[O-])c12,CCO,mol_105_solute_opt,mol_105_solvent_opt,50,39
106.0,CC1=C(O)C(=O)C(C)O1,CCO,mol_106_solute_opt,mol_106_solvent_opt,50,35
107.0,Cc1ccc(C(C)C)c(O)c1,CCO,mol_107_solute_opt,mol_107_solvent_opt,50,33
108.0,O=C1NC(=O)c2ccccc21,CCO,mol_108_solute_opt,mol_108_solvent_opt,50,34
109.0,NC(N)=S,CCO,mol_109_solute_opt,mol_109_solvent_opt,50,42
111.0,CCOC(=O)Cc1c(C(=O)OCC)sc(N)c1C#N,CCO,mol_111_solute_opt,mol_111_solvent_opt,50,33
112.0,Nc1ccc(N2CCOCC2=O)cc1,CCO,mol_112_solute_opt,mol_112_solvent_opt,50,33
113.0,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]32)C1,CCO,mol_113_solute_opt,mol_113_solvent_opt,50,28
114.0,O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,CCO,mol_114_solute_opt,mol_114_solvent_opt,50,34
115.0,N=C(Nc1ccccc1)Nc1ccccc1,CCO,mol_115_solute_opt,mol_115_solvent_opt,50,28
116.0,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,CCO,mol_116_solute_opt,mol_116_solvent_opt,50,29
117.0,O=[N+]([O-])c1ccc(O)c2ncccc12,CCO,mol_117_solute_opt,mol_117_solvent_opt,50,41
118.0,COc1c(O)cc2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O,CCO,mol_118_solute_opt,mol_118_solvent_opt,50,34
119.0,COC(=O)N(OC)c1ccccc1COc1ccn(-c2ccc(Cl)cc2)n1,CCO,mol_119_solute_opt,mol_119_solvent_opt,50,27
120.0,Cc1cccc([N+](=O)[O-])c1N,CCO,mol_120_solute_opt,mol_120_solvent_opt,50,39
121.0,O=S(=O)(c1ccc(O)cc1)c1ccccc1O,CCO,mol_121_solute_opt,mol_121_solvent_opt,50,26
122.0,Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],CCO,mol_122_solute_opt,mol_122_solvent_opt,50,39
123.0,O=Cc1ccc(C=O)cc1,CCO,mol_123_solute_opt,mol_123_solvent_opt,50,43
124.0,Cc1cc(C(=O)O)ccc1[N+](=O)[O-],CCO,mol_124_solute_opt,mol_124_solvent_opt,50,42
125.0,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,CCO,mol_125_solute_opt,mol_125_solvent_opt,50,23
126.0,CC1=NN(c2ccc(C)cc2)C(=O)C1,CCO,mol_126_solute_opt,mol_126_solvent_opt,50,34
127.0,O=C(O)c1ccccc1Nc1ccccc1,CCO,mol_127_solute_opt,mol_127_solvent_opt,50,28
128.0,Cc1ccc(S(C)(=O)=O)cc1,CCO,mol_128_solute_opt,mol_128_solvent_opt,50,31
129.0,O=[N+]([O-])c1cn[nH]c1,CCO,mol_129_solute_opt,mol_129_solvent_opt,50,42
130.0,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,CCO,mol_130_solute_opt,mol_130_solvent_opt,50,34
131.0,O=Cc1ccc([N+](=O)[O-])cc1,CCO,mol_131_solute_opt,mol_131_solvent_opt,50,35
132.0,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(OCCO)c(OCCO)c4)oc4cc(OCCO)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,CCO,mol_132_solute_opt,mol_132_solvent_opt,50,13
133.0,Nc1nnc[nH]1,CCO,mol_133_solute_opt,mol_133_solvent_opt,50,37
134.0,CC(C)(C)[C@H](O)[C@H](Cc1ccc(Cl)cc1)n1cncn1,CCO,mol_134_solute_opt,mol_134_solvent_opt,50,23
135.0,Cn1cnc([N+](=O)[O-])c1Cl,CCO,mol_135_solute_opt,mol_135_solvent_opt,50,45
136.0,CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,CCO,mol_136_solute_opt,mol_136_solvent_opt,50,18
137.0,Nc1ccccc1N,CCO,mol_137_solute_opt,mol_137_solvent_opt,50,36
138.0,COc1cc(Cl)nc(N)n1,CCO,mol_138_solute_opt,mol_138_solvent_opt,50,30
139.0,Cc1cc([N+](=O)[O-])ccc1N,CCO,mol_139_solute_opt,mol_139_solvent_opt,50,33
140.0,O=Cc1cccc([N+](=O)[O-])c1,CCO,mol_140_solute_opt,mol_140_solvent_opt,50,43
141.0,Nc1ccc([N+](=O)[O-])cc1N,CCO,mol_141_solute_opt,mol_141_solvent_opt,50,42
142.0,Nc1cc(Cl)ccc1C(=O)O,CCO,mol_142_solute_opt,mol_142_solvent_opt,50,37
143.0,Clc1ccc2c(c1)Nc1ccccc1S2,CCO,mol_143_solute_opt,mol_143_solvent_opt,50,33
144.0,COc1cc(CO)ccc1O,CCO,mol_144_solute_opt,mol_144_solvent_opt,50,34
145.0,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,CCO,mol_145_solute_opt,mol_145_solvent_opt,50,30
146.0,CC(C)c1ncc[nH]1,CCO,mol_146_solute_opt,mol_146_solvent_opt,50,35
147.0,Nc1ccc(N)c([N+](=O)[O-])c1,CCO,mol_147_solute_opt,mol_147_solvent_opt,50,36
148.0,Cc1ccc(N)c([N+](=O)[O-])c1,CCO,mol_148_solute_opt,mol_148_solvent_opt,50,42
149.0,Cc1cc(C)[nH]n1,CCO,mol_149_solute_opt,mol_149_solvent_opt,50,40
150.0,Cc1c(C(=O)O)cccc1[N+](=O)[O-],CCO,mol_150_solute_opt,mol_150_solvent_opt,50,40
151.0,O=C(Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl,CCO,mol_151_solute_opt,mol_151_solvent_opt,50,35
152.0,c1ccc(-c2nnn[nH]2)cc1,CCO,mol_152_solute_opt,mol_152_solvent_opt,50,39
153.0,Brc1cn[nH]c1,CCO,mol_153_solute_opt,mol_153_solvent_opt,50,35
154.0,NCC1(CC(=O)O)CCCCC1,CCO,mol_154_solute_opt,mol_154_solvent_opt,50,34
155.0,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,CCO,mol_155_solute_opt,mol_155_solvent_opt,50,36
156.0,N[C@@H](Cc1ccc(O)cc1)C(=O)O,CCO,mol_156_solute_opt,mol_156_solvent_opt,50,41
157.0,Clc1ncnc2nc[nH]c12,CCO,mol_157_solute_opt,mol_157_solvent_opt,50,43
158.0,COC(=O)Nc1nc2ccccc2[nH]1,CCO,mol_158_solute_opt,mol_158_solvent_opt,50,38
159.0,N[C@H](Cc1c[nH]c2ccccc12)C(=O)O,CCO,mol_159_solute_opt,mol_159_solvent_opt,50,32
160.0,NC(=NCCCCCCN=C(N)/N=C(\N)Nc1ccc(Cl)cc1)/N=C(\N)Nc1ccc(Cl)cc1,CCO,mol_160_solute_opt,mol_160_solvent_opt,50,22
161.0,c1ccc2c(c1)sc1ccccc12,CCO,mol_161_solute_opt,mol_161_solvent_opt,50,35
162.0,Cc1c(C(=O)/C=C/c2ccccc2)[n+](=O)c2ccccc2n1[O-],CCO,mol_162_solute_opt,mol_162_solvent_opt,50,28
163.0,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CCO,mol_163_solute_opt,mol_163_solvent_opt,50,21
164.0,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,CCO,mol_164_solute_opt,mol_164_solvent_opt,50,31
165.0,CCCc1cc(=O)[nH]c(=S)[nH]1,CCO,mol_165_solute_opt,mol_165_solvent_opt,50,32
166.0,c1ccc2c(c1)CCc1ccccc1N2,CCO,mol_166_solute_opt,mol_166_solvent_opt,50,31
167.0,Cc1c(C(N)=O)cc([N+](=O)[O-])cc1[N+](=O)[O-],CCO,mol_167_solute_opt,mol_167_solvent_opt,50,33
168.0,C=NCC#N,CCO,mol_168_solute_opt,mol_168_solvent_opt,50,40
169.0,O=C1NS(=O)(=O)c2ccccc21,CCO,mol_169_solute_opt,mol_169_solvent_opt,50,40
170.0,COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,CCO,mol_170_solute_opt,mol_170_solvent_opt,50,23
171.0,CCc1nnc(NC(=O)CCCCCNC(C)=O)s1,CCO,mol_171_solute_opt,mol_171_solvent_opt,50,29
172.0,Cc1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(C(C)(C)C)c1[N+](=O)[O-],CCO,mol_172_solute_opt,mol_172_solvent_opt,50,35
173.0,Cn1nnc2c(C(N)=O)ncn2c1=O,CCO,mol_173_solute_opt,mol_173_solvent_opt,50,34
174.0,COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1,CCO,mol_174_solute_opt,mol_174_solvent_opt,50,30
175.0,O=P1(O)Oc2ccc3ccccc3c2-c2c(ccc3ccccc23)O1,CCO,mol_175_solute_opt,mol_175_solvent_opt,50,25
176.0,O=C1OC(=O)[C@H]2[C@@H]1[C@@H]1C=C[C@H]2C1,CCO,mol_176_solute_opt,mol_176_solvent_opt,50,35
177.0,O=Cc1cc([N+](=O)[O-])ccc1O,CCO,mol_177_solute_opt,mol_177_solvent_opt,50,42
178.0,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,CCO,mol_178_solute_opt,mol_178_solvent_opt,50,40
179.0,Oc1ccc(OCc2ccccc2)cc1,CCO,mol_179_solute_opt,mol_179_solvent_opt,50,30
180.0,Cc1nnc(C(C)C)n1C1C[C@H]2CC[C@@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1,CCO,mol_180_solute_opt,mol_180_solvent_opt,50,19
181.0,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,CCO,mol_181_solute_opt,mol_181_solvent_opt,50,27
182.0,Cc1[nH]nc2cc([N+](=O)[O-])ccc12,CCO,mol_182_solute_opt,mol_182_solvent_opt,50,43
183.0,O=c1[nH]c(=O)n(C2CCCO2)cc1F,CCO,mol_183_solute_opt,mol_183_solvent_opt,50,39
184.0,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,CCO,mol_184_solute_opt,mol_184_solvent_opt,50,28
185.0,O=c1ccc(-c2ccccc2)n[nH]1,CCO,mol_185_solute_opt,mol_185_solvent_opt,50,41
186.0,N#Cc1ccc2c(c1)OCO2,CCO,mol_186_solute_opt,mol_186_solvent_opt,50,37
187.0,COc1cccc(C=O)c1O,CCO,mol_187_solute_opt,mol_187_solvent_opt,50,36
188.0,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,CCO,mol_188_solute_opt,mol_188_solvent_opt,50,18
189.0,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,CCO,mol_189_solute_opt,mol_189_solvent_opt,50,22
190.0,CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,CCO,mol_190_solute_opt,mol_190_solvent_opt,50,29
191.0,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,CCO,mol_191_solute_opt,mol_191_solvent_opt,50,27
192.0,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,CCO,mol_192_solute_opt,mol_192_solvent_opt,50,27
193.0,O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,CCO,mol_193_solute_opt,mol_193_solvent_opt,50,27
194.0,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,CCO,mol_194_solute_opt,mol_194_solvent_opt,50,21
195.0,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,CCO,mol_195_solute_opt,mol_195_solvent_opt,50,26
196.0,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CCO,mol_196_solute_opt,mol_196_solvent_opt,50,23
197.0,O=c1cc(CO)occ1O,CCO,mol_197_solute_opt,mol_197_solvent_opt,50,39
198.0,Oc1ccc(Cl)c2cccnc12,CCO,mol_198_solute_opt,mol_198_solvent_opt,50,42
199.0,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,CCO,mol_199_solute_opt,mol_199_solvent_opt,50,23
200.0,CS(=O)(=O)OCCCCOS(C)(=O)=O,CCO,mol_200_solute_opt,mol_200_solvent_opt,50,48
